molecule_chembl_id,canonical_smiles,reason,split
CHEMBL5924356,O=C(Nc1cccc(-c2nnc3n2CCCC3)n1)c1cc(-n2cnc(C3CC3)c2)c(N2CCOCC2)cc1F,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5561406,Cc1cc(F)c(C(=O)Nc2cccc(-c3nnc4n3CCS(=O)(=O)C4)n2)cc1-n1cnc(C2CC2)c1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5517887,Cc1cc(F)c(C(=O)Nc2cccc(-c3nnc4sccn34)n2)cc1-n1cnc(C2CC2)c1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL4213241,c1ccc(Nc2ncc3cc(-c4cn[nH]c4)ccc3n2)cc1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL4215414,CC(=O)Nc1cccc(Nc2ncc3cc(-c4cn[nH]c4)ccc3n2)c1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL4205418,CC(=O)Nc1cccc(Nc2ncc3cc(-c4cnn(C)c4)ccc3n2)c1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL4217652,Nc1cccc(Nc2ncc3cc(-c4cn[nH]c4)ccc3n2)c1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL4853834,CC(C)n1cnnc1-c1cccc(NC(=O)c2cc3ccccc3[nH]2)n1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL4878207,CC(C)n1cnnc1-c1cccc(NC(=O)c2cc3ccccc3n2C)n1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL4848718,Cc1c(C(=O)Nc2cccc(-c3nncn3C(C)C)n2)[nH]c2ccccc12,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL4855351,Cc1ccc2cc(C(=O)Nc3cccc(-c4nncn4C(C)C)n3)[nH]c2c1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL4870487,COc1ccc2cc(C(=O)Nc3cccc(-c4nncn4C(C)C)n3)[nH]c2c1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL4846645,CC(=O)Nc1cccc2cc(C(=O)Nc3cccc(-c4nncn4C(C)C)n3)[nH]c12,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL4854772,CC(C)n1cnnc1-c1cccc(NC(=O)c2cc3cccc(Cl)c3[nH]2)n1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL4850703,C[C@H](CO)n1cnnc1-c1cccc(NC(=O)c2cc3ccccc3[nH]2)n1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5903474,COc1cc2c(cc1C(=O)Nc1cccc(-c3nnnn3[C@H](C)CO)n1)CN(C(=O)c1ccccn1)CC2,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5845783,C[C@H](CO)n1nnnc1-c1cccc(NC(=O)c2cc3c(cc2F)CCN(C(=O)c2ccccn2)C3)n1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5925842,CC(C)n1cnnc1-c1cccc(NC(=O)c2cc(NC(=O)c3cccnc3)ccc2F)n1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5945152,CC(C)n1nnnc1-c1cccc(NC(=O)c2cc(-n3cnc(C4CC4)c3)c(N3CCCC3)cn2)n1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL6025747,C[C@H](CO)n1nnnc1-c1cccc(NC(=O)c2cc3c(cn2)CCN(C(=O)C2CC2)C3)n1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5866949,CC(C)n1nnnc1-c1cccc(NC(=O)c2cc(-n3cnc(C4CC4)c3)c(N3CCN(C)CC3)cn2)n1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5896809,CC(C)n1cnnc1-c1cccc(NC(=O)c2cc(NC(=O)c3ccncc3)ccc2F)n1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5751636,CC(C)n1nnnc1-c1cccc(NC(=O)c2cc3c(cc2F)CCN(c2ccccc2)C3)n1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL6028628,COc1cc2c(cc1C(=O)Nc1cccc(-c3nnnn3[C@H](C)CO)n1)CN(c1c(N)c(=O)c1=O)CC2,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5887040,Cc1cc(F)c(C(=O)Nc2cccc(-c3nnnn3C(C)C)n2)cc1-c1ccncc1,>2 rings causes RDKit C++ hang - bypassed,train
